New Shipment ID,Old Shipment ID,Original Parcel Type
104,FOX0124118,LTL
104,FOX0124112,LTL
104,FOX0124083,LTL
104,FOX0124129,LTL
104,FOX0124185,LTL
104,FOX0124184,LTL
104,FOX0124181,LTL
104,FOX0124115,LTL
105,FOX0124105,LTL
106,FOX0124077,LTL
107,FOX0124075,LTL
107,FOX0124089,LTL
107,FOX0124144,LTL
108,FOX0124116,LTL
109,FOX0124159,LTL
110,6.59E+11,Parcel
110,6.59E+11,Parcel
110,6.59E+11,Parcel
110,6.59E+11,Parcel
111,9.18E+14,Parcel
112,6.59E+11,Parcel
112,6.59E+11,Parcel
112,6.59E+11,Parcel
112,6.59E+11,Parcel
113,FOX0115243,LTL
114,6.82E+11,Parcel
114,6.82E+11,Parcel
114,6.82E+11,Parcel
114,6.82E+11,Parcel
114,6.82E+11,Parcel
114,6.82E+11,Parcel
115,6.59E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
116,6.82E+11,Parcel
117,6.82E+11,Parcel
118,9.18E+14,Parcel
118,9.18E+14,Parcel
119,9.18E+14,Parcel
119,9.18E+14,Parcel
119,9.18E+14,Parcel
119,9.18E+14,Parcel
119,9.18E+14,Parcel
120,6.59E+11,Parcel
120,6.59E+11,Parcel
120,6.59E+11,Parcel
121,9.18E+14,Parcel
122,FOX0123666,LTL
123,9.18E+14,Parcel
124,9.18E+14,Parcel
124,9.18E+14,Parcel
124,9.18E+14,Parcel
124,9.18E+14,Parcel
125,9.18E+14,Parcel
125,9.18E+14,Parcel
125,9.18E+14,Parcel
125,9.18E+14,Parcel
126,9.18E+14,Parcel
126,9.18E+14,Parcel
126,9.18E+14,Parcel
126,9.18E+14,Parcel
126,9.18E+14,Parcel
126,9.18E+14,Parcel
127,2.78E+14,Parcel
127,2.78E+14,Parcel
128,6.82E+11,Parcel
128,6.82E+11,Parcel
128,6.82E+11,Parcel
129,FOX0118829,LTL
130,9.18E+14,Parcel
131,6.82E+11,Parcel
132,6.59E+11,Parcel
133,9.18E+14,Parcel
133,9.18E+14,Parcel
134,FOX0112950,LTL
